================================================================================
模型文件: flickcd_student_backbone.pth
文件类型: State Dict (Pure Weights)
总层数: 486
================================================================================

Layer Name (键名)                                              | Shape (维度)                | Params (参数量)
backbone.features.4.token_mixer.0.conv.c.weight              | [80, 1, 3, 3]             | 720
backbone.features.4.token_mixer.0.conv.bn.weight             | [80]                      | 80
backbone.features.4.token_mixer.0.conv.bn.bias               | [80]                      | 80
backbone.features.4.token_mixer.0.conv.bn.running_mean       | [80]                      | 80
backbone.features.4.token_mixer.0.conv.bn.running_var        | [80]                      | 80
backbone.features.4.token_mixer.0.conv.bn.num_batches_tracked | []                        | 1
backbone.features.4.token_mixer.0.conv1.weight               | [80, 1, 1, 1]             | 80
backbone.features.4.token_mixer.0.conv1.bias                 | [80]                      | 80
backbone.features.4.token_mixer.0.bn.weight                  | [80]                      | 80
backbone.features.4.token_mixer.0.bn.bias                    | [80]                      | 80
backbone.features.4.token_mixer.0.bn.running_mean            | [80]                      | 80
backbone.features.4.token_mixer.0.bn.running_var             | [80]                      | 80
backbone.features.4.token_mixer.0.bn.num_batches_tracked     | []                        | 1
backbone.features.4.token_mixer.1.fc1.weight                 | [24, 80, 1, 1]            | 1,920
backbone.features.4.token_mixer.1.fc1.bias                   | [24]                      | 24
backbone.features.4.token_mixer.1.fc2.weight                 | [80, 24, 1, 1]            | 1,920
backbone.features.4.token_mixer.1.fc2.bias                   | [80]                      | 80
backbone.features.4.channel_mixer.m.0.c.weight               | [160, 80, 1, 1]           | 12,800
backbone.features.4.channel_mixer.m.0.bn.weight              | [160]                     | 160
backbone.features.4.channel_mixer.m.0.bn.bias                | [160]                     | 160
backbone.features.4.channel_mixer.m.0.bn.running_mean        | [160]                     | 160
backbone.features.4.channel_mixer.m.0.bn.running_var         | [160]                     | 160
backbone.features.4.channel_mixer.m.0.bn.num_batches_tracked | []                        | 1
backbone.features.4.channel_mixer.m.2.c.weight               | [80, 160, 1, 1]           | 12,800
backbone.features.4.channel_mixer.m.2.bn.weight              | [80]                      | 80
backbone.features.4.channel_mixer.m.2.bn.bias                | [80]                      | 80
backbone.features.4.channel_mixer.m.2.bn.running_mean        | [80]                      | 80
backbone.features.4.channel_mixer.m.2.bn.running_var         | [80]                      | 80
backbone.features.4.channel_mixer.m.2.bn.num_batches_tracked | []                        | 1
backbone.features.5.token_mixer.0.c.weight                   | [80, 1, 3, 3]             | 720
backbone.features.5.token_mixer.0.bn.weight                  | [80]                      | 80
backbone.features.5.token_mixer.0.bn.bias                    | [80]                      | 80
backbone.features.5.token_mixer.0.bn.running_mean            | [80]                      | 80
backbone.features.5.token_mixer.0.bn.running_var             | [80]                      | 80
backbone.features.5.token_mixer.0.bn.num_batches_tracked     | []                        | 1
backbone.features.5.token_mixer.2.c.weight                   | [160, 80, 1, 1]           | 12,800
backbone.features.5.token_mixer.2.bn.weight                  | [160]                     | 160
backbone.features.5.token_mixer.2.bn.bias                    | [160]                     | 160
backbone.features.5.token_mixer.2.bn.running_mean            | [160]                     | 160
backbone.features.5.token_mixer.2.bn.running_var             | [160]                     | 160
backbone.features.5.token_mixer.2.bn.num_batches_tracked     | []                        | 1
backbone.features.5.channel_mixer.m.0.c.weight               | [320, 160, 1, 1]          | 51,200
backbone.features.5.channel_mixer.m.0.bn.weight              | [320]                     | 320
backbone.features.5.channel_mixer.m.0.bn.bias                | [320]                     | 320
backbone.features.5.channel_mixer.m.0.bn.running_mean        | [320]                     | 320
backbone.features.5.channel_mixer.m.0.bn.running_var         | [320]                     | 320
backbone.features.5.channel_mixer.m.0.bn.num_batches_tracked | []                        | 1
backbone.features.5.channel_mixer.m.2.c.weight               | [160, 320, 1, 1]          | 51,200
backbone.features.5.channel_mixer.m.2.bn.weight              | [160]                     | 160
backbone.features.5.channel_mixer.m.2.bn.bias                | [160]                     | 160
backbone.features.5.channel_mixer.m.2.bn.running_mean        | [160]                     | 160
backbone.features.5.channel_mixer.m.2.bn.running_var         | [160]                     | 160
backbone.features.5.channel_mixer.m.2.bn.num_batches_tracked | []                        | 1
backbone.features.6.token_mixer.0.conv.c.weight              | [160, 1, 3, 3]            | 1,440
backbone.features.6.token_mixer.0.conv.bn.weight             | [160]                     | 160
backbone.features.6.token_mixer.0.conv.bn.bias               | [160]                     | 160
backbone.features.6.token_mixer.0.conv.bn.running_mean       | [160]                     | 160
backbone.features.6.token_mixer.0.conv.bn.running_var        | [160]                     | 160
backbone.features.6.token_mixer.0.conv.bn.num_batches_tracked | []                        | 1
backbone.features.6.token_mixer.0.conv1.weight               | [160, 1, 1, 1]            | 160
backbone.features.6.token_mixer.0.conv1.bias                 | [160]                     | 160
backbone.features.6.token_mixer.0.bn.weight                  | [160]                     | 160
backbone.features.6.token_mixer.0.bn.bias                    | [160]                     | 160
backbone.features.6.token_mixer.0.bn.running_mean            | [160]                     | 160
backbone.features.6.token_mixer.0.bn.running_var             | [160]                     | 160
backbone.features.6.token_mixer.0.bn.num_batches_tracked     | []                        | 1
backbone.features.6.token_mixer.1.fc1.weight                 | [40, 160, 1, 1]           | 6,400
backbone.features.6.token_mixer.1.fc1.bias                   | [40]                      | 40
backbone.features.6.token_mixer.1.fc2.weight                 | [160, 40, 1, 1]           | 6,400
backbone.features.6.token_mixer.1.fc2.bias                   | [160]                     | 160
backbone.features.6.channel_mixer.m.0.c.weight               | [320, 160, 1, 1]          | 51,200
backbone.features.6.channel_mixer.m.0.bn.weight              | [320]                     | 320
backbone.features.6.channel_mixer.m.0.bn.bias                | [320]                     | 320
backbone.features.6.channel_mixer.m.0.bn.running_mean        | [320]                     | 320
backbone.features.6.channel_mixer.m.0.bn.running_var         | [320]                     | 320
backbone.features.6.channel_mixer.m.0.bn.num_batches_tracked | []                        | 1
backbone.features.6.channel_mixer.m.2.c.weight               | [160, 320, 1, 1]          | 51,200
backbone.features.6.channel_mixer.m.2.bn.weight              | [160]                     | 160
backbone.features.6.channel_mixer.m.2.bn.bias                | [160]                     | 160
backbone.features.6.channel_mixer.m.2.bn.running_mean        | [160]                     | 160
backbone.features.6.channel_mixer.m.2.bn.running_var         | [160]                     | 160
backbone.features.6.channel_mixer.m.2.bn.num_batches_tracked | []                        | 1

================================================================================
🔥 总参数量 (Total Parameters): 1,000,779
================================================================================
